1;2002-6-1 0:00:00;"아D-008";25;172500;120750;51750;"사-009"
2;2002-6-2 0:00:00;"자G-002";24;165600;115920;49680;"자-005"
3;2002-6-3 0:00:00;"사C-025";12;104400;73080;31320;"마-025"
4;2002-6-4 0:00:00;"바E-023";20;80000;56000;24000;"자-016"
5;2002-6-5 0:00:00;"사C-025";19;165300;115710;49590;"나-019"
6;2002-6-6 0:00:00;"마C-007";16;32000;22400;9600;"자-016"
7;2002-6-7 0:00:00;"아D-008";13;80600;56420;24180;"다-020"
8;2002-6-8 0:00:00;"나H-015";15;81000;56700;24300;"사-023"
9;2002-6-9 0:00:00;"아I-006";14;71400;49980;21420;"마-013"
10;2002-6-10 0:00:00;"가H-024";18;19800;13860;5940;"바-021"
11;2002-6-11 0:00:00;"자H-030";12;19200;13440;5760;"사-009"
12;2002-6-12 0:00:00;"가H-024";14;15400;10780;4620;"마-025"
13;2002-6-13 0:00:00;"마F-026";22;167200;117040;50160;"사-006"
14;2002-6-14 0:00:00;"바H-009";19;55100;38570;16530;"마-014"
15;2002-6-15 0:00:00;"다D-011";25;62500;43750;18750;"다-027"
16;2002-6-16 0:00:00;"아C-022";25;47500;33250;14250;"나-003"
17;2002-6-17 0:00:00;"사C-025";13;113100;79170;33930;"바-021"
18;2002-6-18 0:00:00;"가I-017";15;75000;52500;22500;"자-028"
19;2002-6-19 0:00:00;"자H-030";24;38400;26880;11520;"아-024"
20;2002-6-20 0:00:00;"바E-023";12;48000;33600;14400;"마-010"
21;2002-6-21 0:00:00;"바F-010";25;75000;52500;22500;"자-028"
22;2002-6-22 0:00:00;"가I-017";19;95000;66500;28500;"라-012"
23;2002-6-23 0:00:00;"바G-021";15;40500;28350;12150;"바-021"
24;2002-6-24 0:00:00;"가I-017";25;125000;87500;37500;"라-012"
25;2002-6-25 0:00:00;"가H-024";18;19800;13860;5940;"자-005"
26;2002-6-26 0:00:00;"자B-018";18;34200;23940;10260;"라-012"
27;2002-6-27 0:00:00;"마E-019";10;40000;28000;12000;"라-012"
28;2002-6-28 0:00:00;"라G-001";19;87400;61180;26220;"다-017"
29;2002-6-29 0:00:00;"자H-030";23;36800;25760;11040;"다-027"
30;2002-6-30 0:00:00;"아D-008";17;105400;73780;31620;"아-024"
31;2002-6-30 0:00:00;"자G-002";24;165600;115920;49680;"나-003"
32;2002-7-1 0:00:00;"바H-009";19;55100;38570;16530;"가-007"
33;2002-7-2 0:00:00;"사C-025";24;208800;146160;62640;"마-026"
34;2002-7-3 0:00:00;"아D-008";12;74400;52080;22320;"다-020"
